ASC_Name,Provider_ID,NPI,City,State,Zip_Code,ASC_1_Measure_Rate,ASC_1_Footnote,ASC_2_Measure_Rate,ASC_2_Footnote,ASC_3_Measure_Rate,ASC_3_Footnote,ASC_4_Measure_Rate,ASC_4_Footnote,ASC_8_Rate,ASC_8_Footnote,ASC_9_Rate,ASC_9_Footnote,ASC_10_Rate,ASC_10_Footnote,ASC_11_Rate,ASC_11_Footnote,ASC_12_Total_Cases,ASC_12_Performance_Category,ASC_12_RSHV_Rate,ASC_12_Interval_Lower_Limit,ASC_12_Interval_Upper_Limit,ASC_12_Footnote
ADVANCE ENDOSCOPY CENTER LLC,08C0001012,1124075940,DOVER,DE,19904,0,,0,,0,,0,,N/A,1,100,,92.77,,N/A,5,260,No Different than the National Rate,13.9,9.7,20.2,
NORTH GARLAND SURGERY CENTER LLP,45C0001393,1124083076,GARLAND,TX,75044,0,,0,,0,,0,,98.24,,100,,100,,N/A,5,273,No Different than the National Rate,11.3,7.8,16.4,
NORTHLAKE SURGICAL CENTER LP,11C0001101,1124083787,TUCKER,GA,30084,0,,0,,0,,0,,50,,63.49,,3.17,,N/A,5,58,No Different than the National Rate,12.5,8.6,18.3,
ST CLOUD SURGICAL CENTER,24C0001000,1124084843,ST CLOUD,MN,56303,0,,0,,0,,0,,86.72,,91.63,,94.79,,N/A,5,71,No Different than the National Rate,11.9,8,17.4,
UROLOGY NORTHWEST PS,50C0001305,1124084983,MOUNTLAKE TERRACE,WA,98043,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LUTHERAN CAMPUS ASC LLC,06C0001113,1124086608,WHEAT RIDGE,CO,80033,0,,0,,0,,0,,94.57,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MOORESVILLE ENDOSCOPY CENTER LLC,15C0001165,1124086863,MOORESVILLE,IN,46158,0,,0,,0,,0,,91.84,,100,,100,,N/A,5,349,No Different than the National Rate,13.2,9.2,18.9,
THE EYE SURGERY CENTER OF PADUCAH,18C0001018,1124091897,PADUCAH,KY,42003,0,,0,,0.459,,0,,82.35,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ROCKLEDGE FL ENDOSCOPY ASC LLC,10C0001444,1124092945,ROCKLEDGE,FL,32955,0,,0,,0,,1.766,,54.17,,100,,100,,N/A,5,1192,No Different than the National Rate,11.4,8.3,15.2,
UROLOGY SURGERY CENTER OF SAVANNAH LLLP,11C0001237,1124093588,SAVANNAH,GA,31405,0,,0,,0,,1.235,,87.1,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WESMARK AMBULATORY SURGERY CENTER,42C0001054,1124098512,SUMTER,SC,29150,0,,0,,0,,0,,98.31,,80.52,,79.67,,N/A,5,849,No Different than the National Rate,11.3,8.3,15.9,
BOSTON EYE SURGERY AND LASER CENTER,22C0001016,1124116264,BOSTON,MA,2114,0,,0,,0,,0,,83.33,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BROOKSIDE SURGERY CENTER,23C0001033,1124125331,BATTLE CREEK,MI,49015,0,,0,,0,,0,,62.22,,N/A,1,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MURDOCK SURGERY CENTER,10C0001474,1124125604,PORT CHARLOTTE,FL,33948,0,,0,,0,,0,,98.51,,82.54,,61.9,,N/A,5,832,No Different than the National Rate,11.9,8.6,16.1,
CENTRAL CONNECTICUT ENDOSCOPY CENTER,07C0001045,1124131636,PLAINVILLE,CT,6062,0,,0,,0,,1.803,,78.13,,96.88,,95.83,,N/A,5,625,No Different than the National Rate,12.2,8.5,17.2,
EASTSIDE SURGERY CENTER INC,45C0001192,1124135918,HOUSTON,TX,77029,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GASTROENTEROLOGY ASSOCIATES INC,36C0001040,1124173596,CANTON,OH,44718,0,,0,,0,,0,,53.13,,78.31,,90.66,,N/A,5,289,No Different than the National Rate,14.6,10.1,20.9,
SOUTH TAMPA SURGERY CENTER LLC,10C0001403,1124186663,TAMPA,FL,33609,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MCALLEN SURGICAL SPECIALTY CENTER LTD,45C0001293,1124197165,MCALLEN,TX,78503,0,,0,,0,,0,,96.3,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ADVANCED SURGICAL ARTS CENTER LLC,31C0001238,1124247846,EDISON,NJ,8837,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
KHS AMBULATORY SURGERY CENTER LLC DBA SELECT SURGICAL CENTER AT KENNEDY,31C0001253,1124261771,SEWELL,NJ,8080,0,,0,,0,,0,,79.57,,100,,100,,N/A,5,53,No Different than the National Rate,12.9,8.8,19.5,
DIGESTIVE HEALTHCARE OF GEORGIA ENDOSCOPY CENTER MOUNTAINSIDE,11C0001329,1124277058,JASPER,GA,30143,0,,0,,0,,0,,100,,82.47,,54.74,,N/A,5,605,No Different than the National Rate,12.8,9.3,18.3,
CPM SURGERY CENTER 2 PC,11C0001360,1124277959,DALLAS,GA,30157,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WILLS EYE SURGERY CENTER,08C0001009,1124283510,WILMINGTON,DE,19803,N/A,5,N/A,5,N/A,5,N/A,5,72.5,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VIDANT SURGICENTER,34C0001000,1124285515,GREENVILLE,NC,27834,0,,0,,0,,0.864,,98.63,,N/A,1,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
TREASURE COAST SURGICAL CENTER INC,10C0001524,1124296173,FORT PIERCE,FL,34947,0,,0,,0,,0,,57.14,,42.8,,100,,N/A,5,434,No Different than the National Rate,14.9,10.5,20.9,
MANHATTAN ENDOSCOPY CENTER LLC,33C0001119,1124324181,NEW YORK,NY,10017,0,,0.455,,0,,1.819,,87.34,,67.81,,35.53,,N/A,5,1334,No Different than the National Rate,12.4,9.3,16.9,
RISSER SURGERY CENTER LLC,05C0002030,1124395876,PASADENA,CA,91107,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VALLEY PLASTIC SURGERY,38C0001100,1124396544,TALENT,OR,97540,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WEXFORD SURGERY CENTER,39C0001314,1124439450,WEXFORD,PA,15090,N/A,5,N/A,5,N/A,5,N/A,5,69.33,,77.54,,10.42,,N/A,5,115,No Different than the National Rate,12.1,8.2,17.8,
LAGUNA SC,05C0002069,1124441852,FULLERTON,CA,92835,0,,3.937,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
POOLE ENDOSCOPY CENTER LLC,21C0001191,1124443809,WESTMINSTER,MD,21157,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,81,No Different than the National Rate,12.7,8.7,18.7,
PAIN CENTERS OF WISCONSIN STEVENS POINT LLC,52C0001105,1124469978,STEVENS POINT,WI,54481,0,,0,,0,,0,,81.82,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
EDISON SURGERY CENTER LLC,31C0001109,1124484019,EDISON,NJ,8837,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PRIME HEALTHCARE SERVICES LEAVENWORTH SURGERY CENTER LLC,17C0001091,1124489083,LEAVENWORTH,KS,66048,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MEMORIAL HERMANN SURGERY CENTER PINECROFT LLC,45C0001607,1124492541,THE WOODLANDS,TX,77380,0,,0,,0,,0,,31.68,,86.02,,93.75,,N/A,5,185,No Different than the National Rate,11.6,7.9,16.8,
ENDOSCOPY CENTER OF INLAND EMPIRE LLC,05C0001617,1124498357,MURRIETA,CA,92562,0,,0,,0,,0,,92.59,,92.93,,82,,N/A,5,386,No Different than the National Rate,11.3,7.7,15.9,
MIDATLANTIC ENDOSCOPY LLC,39C0001145,1124559679,LANCASTER,PA,17601,0,,0,,0,,0,,91.67,,95.53,,93.64,,N/A,5,249,No Different than the National Rate,12.5,8.6,18.3,
UROLOGY SURGERY CENTER JOHNS CREEK,11C0001467,1124571104,JOHNS CREEK,GA,30097,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CAMPUS EYE GROUP ASC,31C0001026,1134101256,HAMILTON,NJ,8690,0.985,,0,,0,,0,,65,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIDWEST SURGERY CENTER LC,17C0001039,1134109523,WICHITA,KS,67214,0,,0,,0,,0,,7.69,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PHYSICIANS SURGERY CENTER OF KNOXVILLE LLC,44C0001000,1134126097,KNOXVILLE,TN,37916,0,,0,,0,,0,,86.06,,N/A,1,N/A,1,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MORGANTON EYE PHYSICIANS PA,34C0001027,1134135213,MORGANTON,NC,28655,0,,0,,0,,0,,73.17,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
OCEAN SPRINGS SURGICAL AND ENDOSCOPY CENTER LLC,25C0001036,1134157225,OCEAN SPRINGS,MS,39564,0,,0.649,,0,,0.649,,70.33,,98.59,,100,,N/A,5,486,No Different than the National Rate,12,8.5,16.8,
SPRING CREEK SURGERY CENTER LLC,04C0001054,1134177256,HOT SPRINGS,AR,71913,0,,0,,0,,0,,92.31,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
JACKSONVILLE SURGERY CENTER LTD,10C0001041,1134182546,JACKSONVILLE,FL,32256,0,,0,,0,,0,,65.31,,67.71,,42.71,,N/A,5,84,No Different than the National Rate,12.8,8.7,18.9,
CORAL SPRINGS SURGICENTER LTD,10C0001187,1134182660,CORAL SPRINGS,FL,33071,0,,0,,0,,5.085,,57.4,,49.21,,75,,N/A,5,33,No Different than the National Rate,13.2,9.1,19.1,
TOPEKA SURGERY CENTER,17C0001061,1134183056,TOPEKA,KS,66614,0,,0,,0,,0,,70.97,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH PALM BEACH COUNTY SURGERY CENTER LLC,10C0001173,1134183908,PALM BEACH GARDENS,FL,33410,0,,0,,0,,0,,40.51,,82.54,,79.37,,N/A,5,94,No Different than the National Rate,12.1,8.2,17.5,
THE ENDOSCOPY CENTER AT MERIDIAN,37C0001037,1134191331,OKLAHOMA CITY,OK,73120,0,,0,,0,,0,,95.83,,99.33,,100,,N/A,5,276,No Different than the National Rate,11.8,8.1,16.7,
PRESIDENTIAL SURGICENTER INC,10C0001057,1134202740,WEST PALM BEACH,FL,33401,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
WASHINGTON ORTHOPAEDIC CENTER INC PS,50C0001080,1134218167,CENTRALIA,WA,98531,0,,0,,0,,0,,90.48,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
BERKS AMBULATORY SURGERY CENTER LLC,39C0001183,1134241946,WYOMISSING,PA,19610,0,,0,,0,,0,,59.38,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
GROSSNICKLE EYE CENTER INC,15C0001018,1134259179,WARSAW,IN,46580,0,,0,,0,,0.43,,93.94,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH SHORE SAME DAY SURGERY DBA NORTH SHORE SURGICAL CENTER,14C0001041,1134262868,LINCOLNWOOD,IL,60712,0,,0,,0,,0,,83.08,,69.44,,97.83,,N/A,5,61,No Different than the National Rate,11.9,8.3,17.3,
OUTPATIENT CENTER FOR FOOT SURGERY,11C0001059,1134275688,GRIFFIN,GA,30224,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SKYLINE AMBULATORY SURGERY CENTER,38C0001030,1134283005,SALEM,OR,97306,0,,0,,0,,0,,85.54,,74.63,,98.51,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
SKYLINE AMBULATORY SURGERY CENTER,38C0001032,1134283005,SALEM,OR,97306,0,,0,,0,,0,,76.92,,74.63,,98.51,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
PLYMOUTH LASER AND SURGICAL CENTER PC,22C0001019,1134293814,PLYMOUTH,MA,2360,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
METAIRIE LA ENDOSCOPY ASC LLC,19C0001071,1134300080,METAIRIE,LA,70006,0,,0,,0,,1.012,,67.35,,100,,100,,N/A,5,498,No Different than the National Rate,13.4,9.6,19.1,
LAGUNA NIGUEL SURGERY CENTER,05C0001854,1134318983,LAGUNA NIGUEL,CA,92677,N/A,5,N/A,5,N/A,5,N/A,5,99.01,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MD SURGICAL SOLUTIONS LLC,05C0001845,1134327182,SHERMAN OAKS,CA,91403,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
SEATTLE SKIN CANCER CENTER PLLC,50C0001181,1134329956,SEATTLE,WA,98104,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HARBOR PLASTIC SURGERY CENTER PLLC,50C0001291,1134354533,GIG HARBOR,WA,98332,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
METRO HEALTH ASC LLC,23C0001111,1134363690,GRAND RAPIDS,MI,49503,0,,0,,0,,0,,89.66,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
VISTA SURGERY CENTER,05C0002048,1134385701,SAN FRANCISCO,CA,94108,N/A,1,N/A,1,N/A,1,N/A,1,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF ZACHARY LLC,19C0001127,1134427297,ZACHARY,LA,70791,0,,0,,0,,0,,77.78,,97.56,,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
BETHESDA CHEVY CHASE SURGERY CENTER LLC,21C0001514,1134431323,BETHESDA,MD,20814,0,,0,,0,,0,,93.94,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
UROLOGICAL SURGICAL CENTER LLC,11C0001387,1134497910,WARNER ROBINS,GA,31093,4.831,,0,,0,,0,,72.73,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGICAL SPECIALTIES LLC,12C0001022,1134499650,HONOLULU,HI,96813,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CHILDRENS SURGERY CENTER OF MALVERN LLC,39C0001296,1134499684,MALVERN,PA,19355,N/A,5,N/A,5,N/A,5,N/A,5,96.81,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CPI SURGERY CENTER,05C0002112,1134535743,TORRANCE,CA,90501,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
APEX SURGERY CENTER,11C0001466,1134589054,BRUNSWICK,GA,31520,N/A,5,N/A,5,N/A,5,N/A,5,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CATARACT AND LASER SURGERY CENTER OF SOUTH GEORGIA,11C0001469,1134670557,VALDOSTA,GA,31602,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ABILENE ENDOSCOPY CENTER,45C0001181,1144200163,ABILENE,TX,79601,0,,0,,0,,0.761,,93.33,,94.53,,88.6,,N/A,5,698,No Different than the National Rate,13.4,9.7,18.6,
MOBERLY SURGERY CENTER LLC,26C0001102,1144206665,MOBERLY,MO,65270,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
DERMATOLOGY AND COSMETIC SURGERY CENTER PC,39C0001078,1144213547,PITTSBURGH,PA,15243,0,,0,,0,,0,,90.91,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
RIVER PARK AMBULATORY SURGERY CENTER LLC,19C0001091,1144216847,VIDALIA,LA,71373,0,,0,,0,,1.624,,70.97,,33.33,,100,,N/A,5,395,No Different than the National Rate,13.1,9.4,18.7,
HSC SURGICAL ASSOCIATES OF CINCINNATI LLC,36C0001038,1144219908,CINCINNATI,OH,45219,0,,0,,0,,0,,97.44,,98.96,,98.96,,N/A,5,728,No Different than the National Rate,13.3,9.5,18.4,
WHITE MARSH FOOT AND ANKLE SURGERY CENTER LLC,21C0001393,1144221375,WHITE MARSH,MD,21236,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY PLASTIC SURGERY CENTER ASSOCIATES CHARTERED,21C0001050,1144255415,ROCKVILLE,MD,20850,0,,0,,0,,0,,N/A,1,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MIDLAND SURGICAL CENTER LLC,14C0001118,1144265539,SYCAMORE,IL,60178,0,,0,,0,,0,,94.34,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
PARKVIEW INVERNESS SURGERY CENTER,15C0001147,1144275629,FORT WAYNE,IN,46804,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,84,No Different than the National Rate,12.3,8.4,18.2,
MT LAUREL ENDOSCOPY CENTER L P,31C0001176,1144275900,MOUNT LAUREL,NJ,8054,0,,0,,0,,0,,69.57,,50,,94,,N/A,5,201,No Different than the National Rate,11.8,8.2,16.9,
NORTH MIAMI BEACH SURGERY CENTER LIMITED PARTNERSHIP,10C0001357,1144283003,NORTH MIAMI BEACH,FL,33162,0,,0,,0,,0,,90.22,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
LAFAYETTE SURGERY CENTER LIMITED PARTNERSHIP,19C0001089,1144283292,LAFAYETTE,LA,70508,0,,0,,0,,2.494,,96.8,,56.6,,98.41,,N/A,5,92,No Different than the National Rate,11.7,7.9,17,
SKY RIDGE SURGERY CENTER LP,06C0001084,1144283649,LONE TREE,CO,80124,0,,0,,0,,0,,96.57,,100,,94.34,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
NORTH SHORE CATARACT AND LASER CENTER LLC,22C0001037,1144287350,STONEHAM,MA,2180,0,,0.287,,0,,0.287,,91.49,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CHANNEL ISLANDS SURGICENTER LP,05C0001229,1144287665,OXNARD,CA,93030,0,,0,,0,,0,,85.07,,91.35,,95.27,,N/A,5,479,No Different than the National Rate,12,8.6,16.9,
OCEAN SURGICAL PAVILION PC,31C0001036,1144291261,OAKHURST,NJ,7755,0,,0,,0,,0,,68.57,,100,,100,,N/A,5,921,No Different than the National Rate,13.4,9.8,18.2,
UNIVERSITY INTERVENTIONAL CENTER,10C0001461,1144291923,PENSACOLA,FL,32503,0,,0,,0,,0,,89.47,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SUNCOAST ENDOSCOPY ASC LP,10C0001342,1144293309,INVERNESS,FL,34453,0,,0,,0,,0.431,,74.19,,100,,100,,N/A,5,935,No Different than the National Rate,13.6,10.1,18.5,
BOICE WILLIS CLINIC PA,34C0001147,1144317470,ROCKY MOUNT,NC,27804,0,,0,,0,,0,,56.52,,99.43,,98.37,,N/A,5,740,No Different than the National Rate,11.7,8.2,16.2,
OLD MOULTRIE SURGICAL CENTER INC,10C0001317,1144326307,ST AUGUSTINE,FL,32086,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
RESURGENS SURGERY CENTER LLC,11C0001049,1144331760,ATLANTA,GA,30342,0,,0,,0,,0,,63.95,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
NORTH SCOTTSDALE AMBULATORY SURGERY CENTER LLC,03C0001275,1144333881,SCOTTSDALE,AZ,85258,0,,0,,0,,0.606,,88.1,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HEIGHTS SURGERY CENTER INC,45C0001215,1144334962,HOUSTON,TX,77008,0,,0,,0,,0,,85.71,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
THIRD STREET SURGERY CENTER LP,05C0001330,1144370594,LOS ANGELES,CA,90013,0,,0,,0,,0,,52.27,,84.76,,40.63,,100,,73,No Different than the National Rate,12.4,8.6,18.1,
BELLINGHAM EAR NOSE THROAT AND FACIAL SURGERY INC,50C0001148,1144370784,BELLINGHAM,WA,98225,0,,0,,0,,0,,91.67,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SURGERY CENTER OF ALLENTOWN LLC,39C0001238,1144380593,ALLENTOWN,PA,18104,0,,0.306,,0,,0.612,,61.84,,65.12,,98.68,,N/A,5,279,No Different than the National Rate,11.4,7.9,16.4,
PASADENA SURGERY CENTER LLC,10C0001492,1144382284,ST PETERSBURG,FL,33707,0,,0,,0,,0,,86.21,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
STARPOINT SURGERY CENTER STUDIO CITY LP,05C0001395,1144390725,STUDIO CITY,CA,91607,0,,0,,0,,0,,51.72,,79.23,,100,,N/A,5,43,No Different than the National Rate,12,8.1,17.6,
SAN ANTONIO GASTROENTEROLOGY ENDOSCOPY CENTER NORTH,45C0001451,1144406927,SAN ANTONIO,TX,78258,0,,0,,0,,0.972,,88.1,,93.27,,88.66,,N/A,5,538,No Different than the National Rate,13.5,9.4,19.2,
DIGESTIVE ENDOSCOPY CENTER LLC,36C0001239,1144416587,SPRINGBORO,OH,45066,0,,0,,0,,0,,74.03,,83.98,,90.71,,N/A,5,430,No Different than the National Rate,11.8,8.4,16.8,
SUMMIT AMBULATORY SURGICAL CENTER LLC,21C0001495,1144467804,FULTON,MD,20759,0,,0,,0,,0,,72.73,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CLARKSVILLE EYE SURGERY CENTER,44C0001170,1144482753,CLARKSVILLE,TN,37040,0,,0,,0,,0,,94.74,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
AMBULATORY SURGERY CENTER OF LOUISIANA,19C0001119,1144491614,SHREVEPORT,LA,71106,0,,0,,0,,0,,56,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CALIFORNIA SKIN SURGERY CENTER INC,05C0001878,1144497264,ROSEVILLE,CA,95661,0,,0,,0,,0,,36.36,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
FOOTHILL SURGERY CENTER LP,05C0001666,1144499633,ARCADIA,CA,91006,0,,0,,0,,0.394,,22.22,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CPMSC GWINNETT LLC,11C0001391,1144516451,AUSTELL,GA,30106,0,,0,,0,,0,,100,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MOY FINCHER CHIPPS FACIAL PLASTICS AND DERMATOLOGY,05C0001961,1144552647,BEVERLY HILLS,CA,90210,N/A,5,N/A,5,N/A,5,N/A,5,63.16,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,05C0001198,1144590332,LONG BEACH,CA,90806,N/A,1,N/A,1,N/A,1,N/A,1,94.44,,N/A,5,N/A,5,N/A,5,36,No Different than the National Rate,12.6,8.6,18.4,
SOUTH LOOP ENDOSCOPY AND WELLNESS CENTER LLC,14C0001156,1144593369,CHICAGO,IL,60616,0,,0,,0,,0,,95,,N/A,1,75.52,,N/A,5,81,No Different than the National Rate,12.4,8.5,18.5,
DEKALB SURGICAL SERVICES LLC,14C0001165,1144607862,SYCAMORE,IL,60178,0,,0,,0,,0,,87.23,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ANCHORAGE SURGICENTER LLC,02C0001000,1144612714,ANCHORAGE,AK,99508,0,,0,,0,,0,,40.43,,80.21,,23.81,,N/A,5,89,No Different than the National Rate,12.4,8.3,17.9,
MAPLE GROVE CENTER FOR RESTORATIVE SURGERY LLC,24C0001082,1144644717,MAPLE GROVE,MN,55369,0,,0,,0,,6.944,,74.42,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SANSUM CLINIC,05C0002055,1144648015,SANTA BARBARA,CA,93110,0,,0,,0,,0,,100,,N/A,1,N/A,1,100,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1
MALLARD CREEK SURGERY CENTER,34C0001191,1144652330,CHARLOTTE,NC,28262,0,,0,,0,,3.774,,94.74,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
MURRIETA VALLEY SURGERY CENTER INC A PROFESSIONAL CORPORATION,05C0002151,1144673526,WILDOMAR,CA,92595,0,,0,,0,,0,,N/A,5,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
ENDOSCOPY CENTER OF WASHINGTON DC LP,09C0001002,1154301240,WASHINGTON,DC,20006,0,,0,,0,,1.59,,94.59,,88.74,,99.48,,N/A,5,423,No Different than the National Rate,12.6,8.7,17.9,
NORTH PLATTE SURGERY CENTER LLC,28C0001032,1154316339,NORTH PLATTE,NE,69101,0,,0,,0,,1.045,,100,,100,,100,,N/A,5,263,No Different than the National Rate,13,9,18.7,
THE EVERETT CLINIC PLLC,50C0001146,1154318103,EVERETT,WA,98201,0,,0.427,,0,,0.855,,89.55,,98.96,,95.83,,N/A,5,705,No Different than the National Rate,12.3,8.9,17.1,
LAHAYE CENTER FOR ADVANCED EYE CARE OF LAFAYETTE INC,19C0001052,1154318376,LAFAYETTE,LA,70508,0,,0,,0,,0,,17.65,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
CREVE COEUR SURGERY CENTER LLC,26C0001033,1154318517,CREVE COEUR,MO,63141,N/A,5,N/A,5,N/A,5,N/A,5,70.45,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
SOUTHWEST SURGICAL SUITES,15C0001121,1154322410,FORT WAYNE,IN,46804,0,,0,,0,,0,,65.19,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
TEXOMA OUTPATIENT SURGERY CENTER INC,45C0001176,1154322600,WICHITA FALLS,TX,76301,0,,0,,0,,0,,57.89,,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5
